INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCapFactor,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,input.capital,capacity.factor.capital,input.OM.fixed,capacity.factor.OM
MI,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2050,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2055,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2060,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2065,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2070,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2075,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2080,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2085,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2090,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
VA,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
WA,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
WI,electricity,offshore wind,offshore_wind_storage_usa,2095,capital,0.528246943,OM-fixed,0.528246943
CA,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
CT,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
DE,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
GA,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
HI,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
IL,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
IN,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
LA,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
ME,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
MD,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
MA,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
MI,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
MN,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
NH,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
NJ,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
NY,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
NC,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
OH,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
OR,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
PA,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
RI,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
SC,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
TX,electricity,offshore wind,offshore_wind_storage_usa,2100,capital,0.528246943,OM-fixed,0.528246943
